company,domain,tier,ats,token,extra,jobs,supported,found_on,jsonld
Morrow Batteries,morrowbatteries.com,2,recruitee,morrow,,3,yes,api-probe,
Nel Hydrogen,nelhydrogen.com,2,teamtailor,nelhydrogen,,7,yes,api-probe,
Netlight,netlight.com,2,lever,netlight,,35,yes,api-probe,
No Isolation,noisolation.com,2,teamtailor,noisolation,,10,yes,https://careers.noisolation.com/,
Nykode Therapeutics,nykode.com,2,bamboohr,vaccibody,,-1,RESTRICTED,https://nykode.com/careers/,
Orkla,orkla.com,2,successfactors,performancemanager5,,-1,no,https://careers.orkla.com/,
Orkla,orkla.com,2,successfactors,rmkcdn,,-1,no,https://careers.orkla.com/,
Orkla,orkla.com,2,successfactors,career5,,-1,no,https://careers.orkla.com/,
Posten Bring,postenbring.no,2,oraclecloud,fa-evem-saasfaprod1,ocs/CX_1,18,yes,https://www.postenbring.no/,
Scatec,scatec.com,2,icims,careers-scatec,,-1,no,https://www.scatec.com/en/career/vacant-positions/,
Storebrand,storebrand.no,2,workday,storebrand,wd3/Storebrand_Careers,19,yes,https://www.storebrand.no:443/,
Sweco Norge,sweco.no,2,recruitee,sweco,,172,yes,api-probe,
Techstep,techstep.io,2,teamtailor,techstep,,1,yes,api-probe,
Unacast,unacast.com,2,bamboohr,unacast,,4,RESTRICTED,https://www.unacast.com/careers,
Vår Energi,varenergi.no,2,successfactors,hcm55,,-1,no,https://jobs.varenergi.no/go/All-locations/8580555/,
Vår Energi,varenergi.no,2,successfactors,career55,,-1,no,https://jobs.varenergi.no/go/All-locations/8580555/,
eSmart Systems,esmartsystems.com,2,teamtailor,esmart,,1,yes,api-probe,
BW Group,bwgroup.com,3,greenhouse,bw,,11,yes,api-probe,
Cermaq,cermaq.com,3,teamtailor,cermaqgroupas,,0,yes,https://www.cermaq.com/careers/vacancies,
Corvus Energy,corvusenergy.com,3,teamtailor,corvusenergy,,0,yes,https://corvusenergy.com/,
Hystar,hystar.com,3,teamtailor,hystar,,1,yes,api-probe,
Höegh Autoliners,hoeghautoliners.com,3,successfactors,career2,,-1,no,https://www.hoeghautoliners.com/,
Norrøna,norrona.com,3,teamtailor,norr,,8,yes,api-probe,
SalMar,salmar.no,3,teamtailor,salmar,,11,yes,api-probe,
TGS,tgs.com,3,recruitee,tgs,,614,yes,api-probe,
Veidekke,veidekke.no,3,teamtailor,veidekke,,10,yes,api-probe,
